Date,Flight Number,From,To
19-02-2024,PA004,Perth,London
19-02-2024,PA005,London,Tokyo
19-02-2024,PA006,Tokyo,London
19-02-2024,PA008,Perth,New York
19-02-2024,PA009,New York,Tokyo
19-02-2024,PA010,Tokyo,New York
19-02-2024,PA011,Perth,Tokyo
19-02-2024,PA012,Tokyo,Perth
20-02-2024,PA002,New York,London
20-02-2024,PA004,Perth,London
20-02-2024,PA005,London,Tokyo
20-02-2024,PA007,New York,Perth
21-02-2024,PA002,New York,London
21-02-2024,PA003,London,Perth
21-02-2024,PA004,Perth,London
21-02-2024,PA007,New York,Perth
21-02-2024,PA008,Perth,New York
21-02-2024,PA011,Perth,Tokyo
22-02-2024,PA001,London,New York
22-02-2024,PA002,New York,London
22-02-2024,PA005,London,Tokyo
22-02-2024,PA006,Tokyo,London
22-02-2024,PA007,New York,Perth
22-02-2024,PA008,Perth,New York
22-02-2024,PA009,New York,Tokyo
22-02-2024,PA011,Perth,Tokyo
22-02-2024,PA012,Tokyo,Perth
23-02-2024,PA002,New York,London
23-02-2024,PA003,London,Perth
23-02-2024,PA006,Tokyo,London
23-02-2024,PA009,New York,Tokyo
23-02-2024,PA012,Tokyo,Perth
24-02-2024,PA002,New York,London
24-02-2024,PA003,London,Perth
24-02-2024,PA005,London,Tokyo
24-02-2024,PA006,Tokyo,London
24-02-2024,PA007,New York,Perth
24-02-2024,PA008,Perth,New York
24-02-2024,PA009,New York,Tokyo
24-02-2024,PA010,Tokyo,New York
25-02-2024,PA002,New York,London
25-02-2024,PA003,London,Perth
25-02-2024,PA004,Perth,London
25-02-2024,PA005,London,Tokyo
25-02-2024,PA006,Tokyo,London
25-02-2024,PA009,New York,Tokyo
25-02-2024,PA010,Tokyo,New York
25-02-2024,PA011,Perth,Tokyo
26-02-2024,PA001,London,New York
26-02-2024,PA002,New York,London
26-02-2024,PA003,London,Perth
26-02-2024,PA006,Tokyo,London
26-02-2024,PA007,New York,Perth
26-02-2024,PA009,New York,Tokyo
27-02-2024,PA001,London,New York
27-02-2024,PA002,New York,London
27-02-2024,PA004,Perth,London
27-02-2024,PA005,London,Tokyo
27-02-2024,PA007,New York,Perth
27-02-2024,PA009,New York,Tokyo
28-02-2024,PA003,London,Perth
28-02-2024,PA005,London,Tokyo
28-02-2024,PA006,Tokyo,London
28-02-2024,PA007,New York,Perth
28-02-2024,PA008,Perth,New York
28-02-2024,PA009,New York,Tokyo
28-02-2024,PA010,Tokyo,New York
28-02-2024,PA011,Perth,Tokyo
29-02-2024,PA001,London,New York
29-02-2024,PA003,London,Perth
29-02-2024,PA007,New York,Perth
29-02-2024,PA008,Perth,New York
29-02-2024,PA009,New York,Tokyo
29-02-2024,PA010,Tokyo,New York
01-03-2024,PA004,Perth,London
01-03-2024,PA005,London,Tokyo
01-03-2024,PA007,New York,Perth
01-03-2024,PA008,Perth,New York
01-03-2024,PA010,Tokyo,New York
02-03-2024,PA001,London,New York
02-03-2024,PA003,London,Perth
02-03-2024,PA004,Perth,London
02-03-2024,PA006,Tokyo,London
02-03-2024,PA007,New York,Perth
02-03-2024,PA008,Perth,New York
02-03-2024,PA009,New York,Tokyo
02-03-2024,PA011,Perth,Tokyo
02-03-2024,PA012,Tokyo,Perth
03-03-2024,PA001,London,New York
03-03-2024,PA003,London,Perth
03-03-2024,PA005,London,Tokyo
03-03-2024,PA006,Tokyo,London
03-03-2024,PA009,New York,Tokyo
04-03-2024,PA001,London,New York
04-03-2024,PA004,Perth,London
04-03-2024,PA005,London,Tokyo
04-03-2024,PA006,Tokyo,London
04-03-2024,PA007,New York,Perth
04-03-2024,PA008,Perth,New York
04-03-2024,PA009,New York,Tokyo
04-03-2024,PA010,Tokyo,New York
05-03-2024,PA001,London,New York
05-03-2024,PA003,London,Perth
05-03-2024,PA004,Perth,London
05-03-2024,PA005,London,Tokyo
05-03-2024,PA006,Tokyo,London
05-03-2024,PA008,Perth,New York
05-03-2024,PA011,Perth,Tokyo
05-03-2024,PA012,Tokyo,Perth
06-03-2024,PA003,London,Perth
06-03-2024,PA004,Perth,London
06-03-2024,PA006,Tokyo,London
06-03-2024,PA009,New York,Tokyo
06-03-2024,PA010,Tokyo,New York
06-03-2024,PA012,Tokyo,Perth
07-03-2024,PA001,London,New York
07-03-2024,PA002,New York,London
07-03-2024,PA003,London,Perth
07-03-2024,PA005,London,Tokyo
07-03-2024,PA006,Tokyo,London
07-03-2024,PA008,Perth,New York
07-03-2024,PA009,New York,Tokyo
08-03-2024,PA003,London,Perth
08-03-2024,PA004,Perth,London
08-03-2024,PA006,Tokyo,London
08-03-2024,PA007,New York,Perth
08-03-2024,PA009,New York,Tokyo
08-03-2024,PA012,Tokyo,Perth
09-03-2024,PA003,London,Perth
09-03-2024,PA004,Perth,London
09-03-2024,PA006,Tokyo,London
09-03-2024,PA010,Tokyo,New York
09-03-2024,PA011,Perth,Tokyo
09-03-2024,PA012,Tokyo,Perth
10-03-2024,PA002,New York,London
10-03-2024,PA003,London,Perth
10-03-2024,PA008,Perth,New York
10-03-2024,PA010,Tokyo,New York
10-03-2024,PA011,Perth,Tokyo
10-03-2024,PA012,Tokyo,Perth
11-03-2024,PA002,New York,London
11-03-2024,PA004,Perth,London
11-03-2024,PA005,London,Tokyo
11-03-2024,PA006,Tokyo,London
11-03-2024,PA007,New York,Perth
11-03-2024,PA008,Perth,New York
11-03-2024,PA009,New York,Tokyo
11-03-2024,PA010,Tokyo,New York
11-03-2024,PA011,Perth,Tokyo
12-03-2024,PA002,New York,London
12-03-2024,PA005,London,Tokyo
12-03-2024,PA006,Tokyo,London
12-03-2024,PA007,New York,Perth
12-03-2024,PA008,Perth,New York
12-03-2024,PA010,Tokyo,New York
13-03-2024,PA001,London,New York
13-03-2024,PA004,Perth,London
13-03-2024,PA005,London,Tokyo
13-03-2024,PA007,New York,Perth
13-03-2024,PA008,Perth,New York
13-03-2024,PA011,Perth,Tokyo
13-03-2024,PA012,Tokyo,Perth
14-03-2024,PA002,New York,London
14-03-2024,PA005,London,Tokyo
14-03-2024,PA008,Perth,New York
14-03-2024,PA009,New York,Tokyo
15-03-2024,PA002,New York,London
15-03-2024,PA004,Perth,London
15-03-2024,PA012,Tokyo,Perth
16-03-2024,PA001,London,New York
16-03-2024,PA005,London,Tokyo
16-03-2024,PA007,New York,Perth
16-03-2024,PA009,New York,Tokyo
16-03-2024,PA010,Tokyo,New York
16-03-2024,PA011,Perth,Tokyo
16-03-2024,PA012,Tokyo,Perth
17-03-2024,PA001,London,New York
17-03-2024,PA004,Perth,London
17-03-2024,PA005,London,Tokyo
17-03-2024,PA010,Tokyo,New York
17-03-2024,PA012,Tokyo,Perth
18-03-2024,PA001,London,New York
18-03-2024,PA002,New York,London
18-03-2024,PA003,London,Perth
18-03-2024,PA004,Perth,London
18-03-2024,PA006,Tokyo,London
18-03-2024,PA007,New York,Perth
18-03-2024,PA008,Perth,New York
18-03-2024,PA012,Tokyo,Perth
19-03-2024,PA001,London,New York
19-03-2024,PA003,London,Perth
19-03-2024,PA008,Perth,New York
19-03-2024,PA009,New York,Tokyo
19-03-2024,PA012,Tokyo,Perth
20-03-2024,PA003,London,Perth
20-03-2024,PA005,London,Tokyo
20-03-2024,PA006,Tokyo,London
20-03-2024,PA007,New York,Perth
20-03-2024,PA008,Perth,New York
20-03-2024,PA009,New York,Tokyo
21-03-2024,PA001,London,New York
21-03-2024,PA002,New York,London
21-03-2024,PA003,London,Perth
21-03-2024,PA004,Perth,London
21-03-2024,PA005,London,Tokyo
21-03-2024,PA009,New York,Tokyo
21-03-2024,PA010,Tokyo,New York
21-03-2024,PA011,Perth,Tokyo
22-03-2024,PA003,London,Perth
22-03-2024,PA004,Perth,London
22-03-2024,PA005,London,Tokyo
22-03-2024,PA006,Tokyo,London
22-03-2024,PA007,New York,Perth
22-03-2024,PA008,Perth,New York
22-03-2024,PA010,Tokyo,New York
22-03-2024,PA011,Perth,Tokyo
22-03-2024,PA012,Tokyo,Perth
23-03-2024,PA001,London,New York
23-03-2024,PA002,New York,London
23-03-2024,PA003,London,Perth
23-03-2024,PA005,London,Tokyo
23-03-2024,PA006,Tokyo,London
23-03-2024,PA009,New York,Tokyo
23-03-2024,PA010,Tokyo,New York
23-03-2024,PA011,Perth,Tokyo
23-03-2024,PA012,Tokyo,Perth
24-03-2024,PA003,London,Perth
24-03-2024,PA004,Perth,London
24-03-2024,PA006,Tokyo,London
24-03-2024,PA007,New York,Perth
24-03-2024,PA010,Tokyo,New York
25-03-2024,PA001,London,New York
25-03-2024,PA002,New York,London
25-03-2024,PA004,Perth,London
25-03-2024,PA007,New York,Perth
25-03-2024,PA009,New York,Tokyo
25-03-2024,PA010,Tokyo,New York
25-03-2024,PA011,Perth,Tokyo
26-03-2024,PA002,New York,London
26-03-2024,PA003,London,Perth
26-03-2024,PA005,London,Tokyo
26-03-2024,PA008,Perth,New York
26-03-2024,PA010,Tokyo,New York
26-03-2024,PA011,Perth,Tokyo
26-03-2024,PA012,Tokyo,Perth
27-03-2024,PA001,London,New York
27-03-2024,PA003,London,Perth
27-03-2024,PA004,Perth,London
27-03-2024,PA005,London,Tokyo
27-03-2024,PA006,Tokyo,London
27-03-2024,PA008,Perth,New York
27-03-2024,PA010,Tokyo,New York
27-03-2024,PA011,Perth,Tokyo
28-03-2024,PA001,London,New York
28-03-2024,PA010,Tokyo,New York
29-03-2024,PA001,London,New York
29-03-2024,PA002,New York,London
29-03-2024,PA003,London,Perth
29-03-2024,PA004,Perth,London
29-03-2024,PA005,London,Tokyo
29-03-2024,PA007,New York,Perth
29-03-2024,PA008,Perth,New York
29-03-2024,PA009,New York,Tokyo
29-03-2024,PA012,Tokyo,Perth
30-03-2024,PA001,London,New York
30-03-2024,PA003,London,Perth
30-03-2024,PA004,Perth,London
30-03-2024,PA012,Tokyo,Perth
31-03-2024,PA001,London,New York
31-03-2024,PA002,New York,London
31-03-2024,PA004,Perth,London
31-03-2024,PA006,Tokyo,London
31-03-2024,PA007,New York,Perth
31-03-2024,PA008,Perth,New York
31-03-2024,PA010,Tokyo,New York
31-03-2024,PA012,Tokyo,Perth
01-04-2024,PA001,London,New York
01-04-2024,PA004,Perth,London
01-04-2024,PA005,London,Tokyo
01-04-2024,PA007,New York,Perth
01-04-2024,PA008,Perth,New York
01-04-2024,PA009,New York,Tokyo
01-04-2024,PA011,Perth,Tokyo
02-04-2024,PA002,New York,London
02-04-2024,PA003,London,Perth
02-04-2024,PA004,Perth,London
02-04-2024,PA007,New York,Perth
02-04-2024,PA008,Perth,New York
02-04-2024,PA009,New York,Tokyo
02-04-2024,PA010,Tokyo,New York
02-04-2024,PA011,Perth,Tokyo
02-04-2024,PA012,Tokyo,Perth
03-04-2024,PA001,London,New York
03-04-2024,PA003,London,Perth
03-04-2024,PA004,Perth,London
03-04-2024,PA006,Tokyo,London
03-04-2024,PA007,New York,Perth
03-04-2024,PA008,Perth,New York
03-04-2024,PA009,New York,Tokyo
03-04-2024,PA010,Tokyo,New York
04-04-2024,PA002,New York,London
04-04-2024,PA003,London,Perth
04-04-2024,PA005,London,Tokyo
04-04-2024,PA007,New York,Perth
04-04-2024,PA008,Perth,New York
04-04-2024,PA009,New York,Tokyo
04-04-2024,PA010,Tokyo,New York
04-04-2024,PA011,Perth,Tokyo
04-04-2024,PA012,Tokyo,Perth
05-04-2024,PA001,London,New York
05-04-2024,PA002,New York,London
05-04-2024,PA003,London,Perth
05-04-2024,PA005,London,Tokyo
05-04-2024,PA011,Perth,Tokyo
05-04-2024,PA012,Tokyo,Perth
06-04-2024,PA002,New York,London
06-04-2024,PA004,Perth,London
06-04-2024,PA005,London,Tokyo
06-04-2024,PA008,Perth,New York
06-04-2024,PA009,New York,Tokyo
06-04-2024,PA010,Tokyo,New York
06-04-2024,PA011,Perth,Tokyo
06-04-2024,PA012,Tokyo,Perth
07-04-2024,PA002,New York,London
07-04-2024,PA003,London,Perth
07-04-2024,PA005,London,Tokyo
07-04-2024,PA006,Tokyo,London
07-04-2024,PA008,Perth,New York
07-04-2024,PA010,Tokyo,New York
07-04-2024,PA011,Perth,Tokyo
08-04-2024,PA001,London,New York
08-04-2024,PA002,New York,London
08-04-2024,PA003,London,Perth
08-04-2024,PA004,Perth,London
08-04-2024,PA006,Tokyo,London
08-04-2024,PA007,New York,Perth
08-04-2024,PA009,New York,Tokyo
08-04-2024,PA010,Tokyo,New York
08-04-2024,PA011,Perth,Tokyo
09-04-2024,PA001,London,New York
09-04-2024,PA002,New York,London
09-04-2024,PA003,London,Perth
09-04-2024,PA005,London,Tokyo
09-04-2024,PA006,Tokyo,London
09-04-2024,PA007,New York,Perth
09-04-2024,PA008,Perth,New York
09-04-2024,PA009,New York,Tokyo
10-04-2024,PA001,London,New York
10-04-2024,PA003,London,Perth
10-04-2024,PA007,New York,Perth
10-04-2024,PA011,Perth,Tokyo
11-04-2024,PA005,London,Tokyo
11-04-2024,PA006,Tokyo,London
11-04-2024,PA007,New York,Perth
11-04-2024,PA008,Perth,New York
11-04-2024,PA011,Perth,Tokyo
11-04-2024,PA012,Tokyo,Perth
12-04-2024,PA001,London,New York
12-04-2024,PA002,New York,London
12-04-2024,PA004,Perth,London
12-04-2024,PA005,London,Tokyo
12-04-2024,PA007,New York,Perth
12-04-2024,PA009,New York,Tokyo
12-04-2024,PA010,Tokyo,New York
12-04-2024,PA012,Tokyo,Perth
13-04-2024,PA001,London,New York
13-04-2024,PA002,New York,London
13-04-2024,PA003,London,Perth
13-04-2024,PA004,Perth,London
13-04-2024,PA008,Perth,New York
13-04-2024,PA009,New York,Tokyo
13-04-2024,PA010,Tokyo,New York
13-04-2024,PA011,Perth,Tokyo
14-04-2024,PA002,New York,London
14-04-2024,PA004,Perth,London
14-04-2024,PA005,London,Tokyo
14-04-2024,PA007,New York,Perth
14-04-2024,PA011,Perth,Tokyo
15-04-2024,PA002,New York,London
15-04-2024,PA003,London,Perth
15-04-2024,PA004,Perth,London
15-04-2024,PA005,London,Tokyo
15-04-2024,PA006,Tokyo,London
15-04-2024,PA007,New York,Perth
15-04-2024,PA008,Perth,New York
15-04-2024,PA010,Tokyo,New York
15-04-2024,PA011,Perth,Tokyo
16-04-2024,PA001,London,New York
16-04-2024,PA003,London,Perth
16-04-2024,PA006,Tokyo,London
16-04-2024,PA007,New York,Perth
16-04-2024,PA008,Perth,New York
16-04-2024,PA009,New York,Tokyo
16-04-2024,PA010,Tokyo,New York
16-04-2024,PA011,Perth,Tokyo
16-04-2024,PA012,Tokyo,Perth
17-04-2024,PA002,New York,London
17-04-2024,PA004,Perth,London
17-04-2024,PA006,Tokyo,London
17-04-2024,PA007,New York,Perth
17-04-2024,PA009,New York,Tokyo
17-04-2024,PA011,Perth,Tokyo
18-04-2024,PA002,New York,London
18-04-2024,PA003,London,Perth
18-04-2024,PA004,Perth,London
18-04-2024,PA005,London,Tokyo
18-04-2024,PA006,Tokyo,London
18-04-2024,PA007,New York,Perth
18-04-2024,PA009,New York,Tokyo
18-04-2024,PA011,Perth,Tokyo
19-04-2024,PA001,London,New York
19-04-2024,PA002,New York,London
19-04-2024,PA003,London,Perth
19-04-2024,PA004,Perth,London
19-04-2024,PA006,Tokyo,London
19-04-2024,PA007,New York,Perth
19-04-2024,PA009,New York,Tokyo
19-04-2024,PA010,Tokyo,New York
19-04-2024,PA011,Perth,Tokyo
19-04-2024,PA012,Tokyo,Perth
20-04-2024,PA002,New York,London
20-04-2024,PA003,London,Perth
20-04-2024,PA006,Tokyo,London
20-04-2024,PA009,New York,Tokyo
20-04-2024,PA011,Perth,Tokyo
20-04-2024,PA012,Tokyo,Perth
21-04-2024,PA001,London,New York
21-04-2024,PA003,London,Perth
21-04-2024,PA004,Perth,London
21-04-2024,PA006,Tokyo,London
21-04-2024,PA009,New York,Tokyo
21-04-2024,PA012,Tokyo,Perth
22-04-2024,PA007,New York,Perth
22-04-2024,PA008,Perth,New York
22-04-2024,PA011,Perth,Tokyo
23-04-2024,PA001,London,New York
23-04-2024,PA003,London,Perth
23-04-2024,PA004,Perth,London
23-04-2024,PA006,Tokyo,London
23-04-2024,PA008,Perth,New York
23-04-2024,PA009,New York,Tokyo
24-04-2024,PA001,London,New York
24-04-2024,PA005,London,Tokyo
24-04-2024,PA006,Tokyo,London
24-04-2024,PA007,New York,Perth
24-04-2024,PA008,Perth,New York
24-04-2024,PA010,Tokyo,New York
24-04-2024,PA011,Perth,Tokyo
24-04-2024,PA012,Tokyo,Perth
25-04-2024,PA001,London,New York
25-04-2024,PA003,London,Perth
25-04-2024,PA004,Perth,London
25-04-2024,PA005,London,Tokyo
25-04-2024,PA006,Tokyo,London
25-04-2024,PA007,New York,Perth
25-04-2024,PA008,Perth,New York
25-04-2024,PA009,New York,Tokyo
25-04-2024,PA010,Tokyo,New York
25-04-2024,PA011,Perth,Tokyo
26-04-2024,PA001,London,New York
26-04-2024,PA002,New York,London
26-04-2024,PA004,Perth,London
26-04-2024,PA005,London,Tokyo
26-04-2024,PA010,Tokyo,New York
26-04-2024,PA012,Tokyo,Perth
27-04-2024,PA001,London,New York
27-04-2024,PA003,London,Perth
27-04-2024,PA005,London,Tokyo
27-04-2024,PA006,Tokyo,London
27-04-2024,PA007,New York,Perth
27-04-2024,PA011,Perth,Tokyo
27-04-2024,PA012,Tokyo,Perth
28-04-2024,PA002,New York,London
28-04-2024,PA003,London,Perth
28-04-2024,PA004,Perth,London
28-04-2024,PA006,Tokyo,London
28-04-2024,PA010,Tokyo,New York
29-04-2024,PA002,New York,London
29-04-2024,PA005,London,Tokyo
29-04-2024,PA006,Tokyo,London
29-04-2024,PA007,New York,Perth
29-04-2024,PA009,New York,Tokyo
29-04-2024,PA011,Perth,Tokyo
29-04-2024,PA012,Tokyo,Perth
30-04-2024,PA001,London,New York
30-04-2024,PA004,Perth,London
30-04-2024,PA008,Perth,New York
30-04-2024,PA009,New York,Tokyo
30-04-2024,PA010,Tokyo,New York
30-04-2024,PA011,Perth,Tokyo
30-04-2024,PA012,Tokyo,Perth
01-05-2024,PA002,New York,London
01-05-2024,PA004,Perth,London
01-05-2024,PA005,London,Tokyo
01-05-2024,PA006,Tokyo,London
01-05-2024,PA008,Perth,New York
01-05-2024,PA009,New York,Tokyo
01-05-2024,PA010,Tokyo,New York
01-05-2024,PA011,Perth,Tokyo
01-05-2024,PA012,Tokyo,Perth
02-05-2024,PA002,New York,London
02-05-2024,PA003,London,Perth
02-05-2024,PA004,Perth,London
02-05-2024,PA008,Perth,New York
02-05-2024,PA009,New York,Tokyo
03-05-2024,PA001,London,New York
03-05-2024,PA002,New York,London
03-05-2024,PA003,London,Perth
03-05-2024,PA005,London,Tokyo
03-05-2024,PA006,Tokyo,London
03-05-2024,PA008,Perth,New York
03-05-2024,PA009,New York,Tokyo
03-05-2024,PA010,Tokyo,New York
03-05-2024,PA011,Perth,Tokyo
03-05-2024,PA012,Tokyo,Perth
04-05-2024,PA004,Perth,London
04-05-2024,PA005,London,Tokyo
04-05-2024,PA007,New York,Perth
04-05-2024,PA012,Tokyo,Perth
05-05-2024,PA002,New York,London
05-05-2024,PA004,Perth,London
05-05-2024,PA006,Tokyo,London
05-05-2024,PA007,New York,Perth
05-05-2024,PA008,Perth,New York
05-05-2024,PA009,New York,Tokyo
05-05-2024,PA012,Tokyo,Perth
06-05-2024,PA002,New York,London
06-05-2024,PA004,Perth,London
06-05-2024,PA005,London,Tokyo
06-05-2024,PA006,Tokyo,London
06-05-2024,PA007,New York,Perth
06-05-2024,PA011,Perth,Tokyo
07-05-2024,PA002,New York,London
07-05-2024,PA004,Perth,London
07-05-2024,PA007,New York,Perth
07-05-2024,PA008,Perth,New York
07-05-2024,PA010,Tokyo,New York
07-05-2024,PA012,Tokyo,Perth
08-05-2024,PA001,London,New York
08-05-2024,PA003,London,Perth
08-05-2024,PA005,London,Tokyo
08-05-2024,PA006,Tokyo,London
08-05-2024,PA007,New York,Perth
09-05-2024,PA001,London,New York
09-05-2024,PA002,New York,London
09-05-2024,PA003,London,Perth
09-05-2024,PA004,Perth,London
09-05-2024,PA007,New York,Perth
09-05-2024,PA010,Tokyo,New York
09-05-2024,PA011,Perth,Tokyo
09-05-2024,PA012,Tokyo,Perth
10-05-2024,PA002,New York,London
10-05-2024,PA003,London,Perth
10-05-2024,PA005,London,Tokyo
10-05-2024,PA006,Tokyo,London
10-05-2024,PA008,Perth,New York
10-05-2024,PA009,New York,Tokyo
10-05-2024,PA010,Tokyo,New York
10-05-2024,PA011,Perth,Tokyo
10-05-2024,PA012,Tokyo,Perth
11-05-2024,PA003,London,Perth
11-05-2024,PA005,London,Tokyo
11-05-2024,PA006,Tokyo,London
11-05-2024,PA009,New York,Tokyo
11-05-2024,PA011,Perth,Tokyo
11-05-2024,PA012,Tokyo,Perth
12-05-2024,PA001,London,New York
12-05-2024,PA002,New York,London
12-05-2024,PA003,London,Perth
12-05-2024,PA004,Perth,London
12-05-2024,PA005,London,Tokyo
12-05-2024,PA006,Tokyo,London
12-05-2024,PA012,Tokyo,Perth
13-05-2024,PA004,Perth,London
13-05-2024,PA006,Tokyo,London
13-05-2024,PA007,New York,Perth
13-05-2024,PA009,New York,Tokyo
13-05-2024,PA010,Tokyo,New York
14-05-2024,PA001,London,New York
14-05-2024,PA002,New York,London
14-05-2024,PA003,London,Perth
14-05-2024,PA005,London,Tokyo
14-05-2024,PA006,Tokyo,London
14-05-2024,PA007,New York,Perth
14-05-2024,PA008,Perth,New York
14-05-2024,PA009,New York,Tokyo
14-05-2024,PA010,Tokyo,New York
14-05-2024,PA011,Perth,Tokyo
14-05-2024,PA012,Tokyo,Perth
15-05-2024,PA001,London,New York
15-05-2024,PA003,London,Perth
15-05-2024,PA004,Perth,London
15-05-2024,PA007,New York,Perth
15-05-2024,PA008,Perth,New York
15-05-2024,PA010,Tokyo,New York
15-05-2024,PA011,Perth,Tokyo
16-05-2024,PA001,London,New York
16-05-2024,PA003,London,Perth
16-05-2024,PA004,Perth,London
16-05-2024,PA005,London,Tokyo
16-05-2024,PA006,Tokyo,London
16-05-2024,PA007,New York,Perth
16-05-2024,PA009,New York,Tokyo
16-05-2024,PA011,Perth,Tokyo
17-05-2024,PA001,London,New York
17-05-2024,PA002,New York,London
17-05-2024,PA003,London,Perth
17-05-2024,PA005,London,Tokyo
17-05-2024,PA006,Tokyo,London
17-05-2024,PA009,New York,Tokyo
18-05-2024,PA002,New York,London
18-05-2024,PA004,Perth,London
18-05-2024,PA008,Perth,New York
18-05-2024,PA009,New York,Tokyo
18-05-2024,PA012,Tokyo,Perth
19-05-2024,PA001,London,New York
19-05-2024,PA002,New York,London
19-05-2024,PA004,Perth,London
19-05-2024,PA005,London,Tokyo
19-05-2024,PA006,Tokyo,London
19-05-2024,PA008,Perth,New York
19-05-2024,PA009,New York,Tokyo
19-05-2024,PA010,Tokyo,New York
19-05-2024,PA011,Perth,Tokyo
20-05-2024,PA001,London,New York
20-05-2024,PA002,New York,London
20-05-2024,PA003,London,Perth
20-05-2024,PA004,Perth,London
